ID,inquiryNumber,customer_ID,inquiryDate,validTo,status,remarks,createdAt,createdBy,modifiedAt,modifiedBy
SIH001,INQ1001,CUST001,2025-01-02,2025-01-12,open,Customer requested pricing for bulk order,2025-01-02T10:10:00,system,2025-01-02T10:10:00,system
SIH002,INQ1002,CUST002,2025-01-03,2025-01-13,inProcess,Reviewing availability and pricing,2025-01-03T11:05:00,admin,2025-01-03T11:05:00,admin
SIH003,INQ1003,CUST003,2025-01-04,2025-01-14,open,Inquiry received via email,2025-01-04T09:45:20,system,2025-01-04T09:45:20,system
SIH004,INQ1004,CUST004,2025-01-05,2025-01-15,confirmed,Customer agreed on preliminary quotation,2025-01-05T14:30:10,manager,2025-01-05T14:30:10,manager
SIH005,INQ1005,CUST005,2025-01-06,2025-01-16,rejected,Customer declined due to pricing,2025-01-06T10:55:40,system,2025-01-06T10:55:40,system
SIH006,INQ1006,CUST006,2025-01-07,2025-01-17,open,Checking feasibility of custom order,2025-01-07T15:10:00,admin,2025-01-07T15:10:00,admin
SIH007,INQ1007,CUST007,2025-01-08,2025-01-18,inProcess,Awaiting stock confirmation,2025-01-08T13:20:30,system,2025-01-08T13:20:30,system
SIH008,INQ1008,CUST008,2025-01-09,2025-01-19,confirmed,Quotation accepted by customer,2025-01-09T16:40:10,manager,2025-01-09T16:40:10,manager
SIH009,INQ1009,CUST009,2025-01-10,2025-01-20,open,Inquiry submitted through portal,2025-01-10T11:15:25,system,2025-01-10T11:15:25,system
SIH010,INQ1010,CUST010,2025-01-11,2025-01-21,inProcess,Negotiating discount terms,2025-01-11T10:50:00,admin,2025-01-11T10:50:00,admin
